PPID,Type,Liking,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
220505ETIN1,Liking,Like,301,,,,,,,,,,,,,,,,,
220505ETIN1,Liking,Love,61,361,601,961,1141,1381,,,,,,,,,,,,
220510SSHA1,Liking,Hate,121,361,541,661,1261,1321,1381,,,,,,,,,,,
220510SSHA1,Liking,Neutral,241,301,,,,,,,,,,,,,,,,
220510SSHA1,Liking,Like,1,421,481,721,781,841,1021,1201,,,,,,,,,,
220510SSHA1,Liking,Love,61,181,601,901,961,1081,1141,,,,,,,,,,,
220519JKIM1,Liking,Neutral,241,901,1321,1381,,,,,,,,,,,,,,
220519JKIM1,Liking,Like,61,121,361,481,541,601,841,1021,1141,,,,,,,,,
220519JKIM1,Liking,Love,1,181,301,421,661,721,781,961,1081,1201,,,,,,,,
220519JKIM1,Liking,,1261,,,,,,,,,,,,,,,,,
220519MFAN1,Liking,Neutral,61,301,481,661,901,961,1321,,,,,,,,,,,
220519MFAN1,Liking,Like,421,541,1381,,,,,,,,,,,,,,,
220519MFAN1,Liking,Love,1,121,181,241,361,601,721,781,841,1021,1081,1141,1201,1261,,,,
220524SQUI1,Liking,Hate,1321,,,,,,,,,,,,,,,,,
220524SQUI1,Liking,Neutral,1,61,301,361,421,721,781,961,1261,1381,,,,,,,,
220524SQUI1,Liking,Like,181,241,541,661,901,1021,1201,,,,,,,,,,,
220524SQUI1,Liking,Love,121,481,601,841,1081,1141,,,,,,,,,,,,
220602KRIN1,Liking,Hate,481,1021,,,,,,,,,,,,,,,,
220602KRIN1,Liking,Neutral,241,361,541,601,661,781,901,961,1081,1381,,,,,,,,
220602KRIN1,Liking,Like,181,301,841,,,,,,,,,,,,,,,
220602KRIN1,Liking,Love,1,61,121,421,721,1141,1201,1261,1321,,,,,,,,,
220607ISHR1,Liking,Hate,541,841,1321,1381,,,,,,,,,,,,,,
220607ISHR1,Liking,Neutral,1,661,1261,,,,,,,,,,,,,,,
220607ISHR1,Liking,Like,61,121,241,301,421,481,601,721,781,961,1021,1141,,,,,,
220607ISHR1,Liking,Love,181,361,901,1081,1201,,,,,,,,,,,,,
220609TDEV1,Liking,Hate,241,541,1141,,,,,,,,,,,,,,,
220609TDEV1,Liking,Neutral,61,121,661,781,901,1201,1261,,,,,,,,,,,
220609TDEV1,Liking,Like,301,421,481,721,841,1081,1321,1381,,,,,,,,,,
220609TDEV1,Liking,Love,1,181,361,601,961,1021,,,,,,,,,,,,
220614ARAM1,Liking,Hate,1021,,,,,,,,,,,,,,,,,
220614ARAM1,Liking,Neutral,121,181,241,481,721,781,901,961,1141,1261,1321,1381,,,,,,
220614ARAM1,Liking,Like,61,361,421,541,661,,,,,,,,,,,,,
220614ARAM1,Liking,Love,1,301,601,841,1081,1201,,,,,,,,,,,,
220616CSAI1,Liking,Neutral,421,541,661,841,1081,1141,1201,1261,,,,,,,,,,
220616CSAI1,Liking,Like,1,61,241,481,601,721,961,1381,,,,,,,,,,
220616CSAI1,Liking,Love,121,181,301,361,781,901,1021,1321,,,,,,,,,,
220621FINE1,Liking,Neutral,61,181,241,361,481,601,961,1261,1321,,,,,,,,,
220621FINE1,Liking,Like,301,421,541,721,781,841,901,1141,1381,,,,,,,,,
220621FINE1,Liking,Love,1,121,661,1021,1081,1201,,,,,,,,,,,,
