PPID,Type,Familiarity,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
220215MCHI1,Familiarity,VeryFamiliar,121,241,421,481,541,601,661,1021,1201,1261,1321,,,,,,,,,,,,,
220217JCLA1,Familiarity,VeryUnfamiliar,181,241,661,781,1021,1141,1261,1321,1381,,,,,,,,,,,,,,,
220217JCLA1,Familiarity,Unfamiliar,121,301,421,481,,,,,,,,,,,,,,,,,,,,
220217JCLA1,Familiarity,Familiar,1,61,601,841,901,,,,,,,,,,,,,,,,,,,
220217JCLA1,Familiarity,VeryFamiliar,361,541,721,961,1081,1201,,,,,,,,,,,,,,,,,,
220222SSOH1,Familiarity,Unfamiliar,181,361,721,1021,1141,1321,1381,,,,,,,,,,,,,,,,,
220222SSOH1,Familiarity,Familiar,1,241,301,421,541,601,781,961,1081,1261,,,,,,,,,,,,,,
220222SSOH1,Familiarity,VeryFamiliar,61,121,481,661,841,901,1201,,,,,,,,,,,,,,,,,
220301AWIL1,Familiarity,VeryUnfamiliar,61,361,841,1021,,,,,,,,,,,,,,,,,,,,
220301AWIL1,Familiarity,Unfamiliar,121,301,721,,,,,,,,,,,,,,,,,,,,,
220301AWIL1,Familiarity,Familiar,1,601,1141,1201,1321,,,,,,,,,,,,,,,,,,,
220301AWIL1,Familiarity,VeryFamiliar,181,241,421,481,541,661,781,901,961,1081,1261,1381,,,,,,,,,,,,
220303STHO1,Familiarity,VeryUnfamiliar,61,301,361,481,1021,1081,1321,,,,,,,,,,,,,,,,,
220303STHO1,Familiarity,Unfamiliar,181,661,,,,,,,,,,,,,,,,,,,,,,
220303STHO1,Familiarity,Familiar,241,781,901,1261,,,,,,,,,,,,,,,,,,,,
220303STHO1,Familiarity,VeryFamiliar,1,121,421,541,601,721,841,961,1141,1201,1381,,,,,,,,,,,,,
220308MBIC1,Familiarity,Familiar,181,301,421,481,541,661,721,781,901,961,1021,1081,1141,1381,,,,,,,,,,
220308MBIC1,Familiarity,VeryFamiliar,1,61,121,241,361,601,841,1201,1261,1321,,,,,,,,,,,,,,
220310CKOB1,Familiarity,VeryUnfamiliar,181,481,541,901,1021,,,,,,,,,,,,,,,,,,,
220310CKOB1,Familiarity,Unfamiliar,961,1261,,,,,,,,,,,,,,,,,,,,,,
220310CKOB1,Familiarity,Familiar,1,,,,,,,,,,,,,,,,,,,,,,,
220310CKOB1,Familiarity,VeryFamiliar,61,121,241,301,361,421,601,661,721,781,841,1081,1141,1201,1321,1381,,,,,,,,
220315CNOR1,Familiarity,VeryUnfamiliar,841,1201,,,,,,,,,,,,,,,,,,,,,,
220315CNOR1,Familiarity,Unfamiliar,1,541,601,1141,,,,,,,,,,,,,,,,,,,,
220315CNOR1,Familiarity,Familiar,61,181,361,721,781,1321,,,,,,,,,,,,,,,,,,
