PPID,Type,Stim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
211209ASUR1,Stimulus,bp,61,361,541,601,,,,,,,,,,,,,,,,,,,,
211209ASUR1,Stimulus,nw,121,661,961,1381,,,,,,,,,,,,,,,,,,,,
220201IZIK1,Stimulus,ss,121,241,421,481,661,1381,,,,,,,,,,,,,,,,,,
220201IZIK1,Stimulus,fw,181,301,361,541,721,781,841,1081,1141,1201,,,,,,,,,,,,,,
220201IZIK1,Stimulus,bp,1,61,1261,1321,,,,,,,,,,,,,,,,,,,,
220201IZIK1,Stimulus,nw,601,901,961,1021,,,,,,,,,,,,,,,,,,,,
220203SAPE1,Stimulus,ss,301,541,841,961,1021,1201,,,,,,,,,,,,,,,,,,
220203SAPE1,Stimulus,fw,1,181,361,421,601,661,721,1081,1321,1381,,,,,,,,,,,,,,
220203SAPE1,Stimulus,bp,121,901,1141,1261,,,,,,,,,,,,,,,,,,,,
220203SAPE1,Stimulus,nw,61,241,481,781,,,,,,,,,,,,,,,,,,,,
220210TBOY1,Stimulus,ss,121,181,241,1081,1201,1321,,,,,,,,,,,,,,,,,,
220210TBOY1,Stimulus,fw,61,301,361,541,601,661,781,961,1261,1381,,,,,,,,,,,,,,
220210TBOY1,Stimulus,bp,1,721,1021,1141,,,,,,,,,,,,,,,,,,,,
220210TBOY1,Stimulus,nw,421,481,841,901,,,,,,,,,,,,,,,,,,,,
220215MCHI1,Stimulus,ss,541,601,661,1021,1201,1321,,,,,,,,,,,,,,,,,,
220215MCHI1,Stimulus,fw,61,181,361,721,901,961,1081,1141,1261,1381,,,,,,,,,,,,,,
220215MCHI1,Stimulus,bp,121,301,421,481,,,,,,,,,,,,,,,,,,,,
220215MCHI1,Stimulus,nw,1,241,781,841,,,,,,,,,,,,,,,,,,,,
220217JCLA1,Stimulus,ss,361,541,721,961,1081,1201,,,,,,,,,,,,,,,,,,
220217JCLA1,Stimulus,fw,181,241,601,661,781,841,1021,1141,1261,1321,,,,,,,,,,,,,,
220217JCLA1,Stimulus,bp,1,61,301,421,,,,,,,,,,,,,,,,,,,,
220217JCLA1,Stimulus,nw,121,481,901,1381,,,,,,,,,,,,,,,,,,,,
220222SSOH1,Stimulus,ss,61,121,661,841,901,1201,,,,,,,,,,,,,,,,,,
220222SSOH1,Stimulus,fw,241,361,481,541,601,781,1081,1141,1321,1381,,,,,,,,,,,,,,
220222SSOH1,Stimulus,bp,181,421,721,961,,,,,,,,,,,,,,,,,,,,
220222SSOH1,Stimulus,nw,1,301,1021,1261,,,,,,,,,,,,,,,,,,,,
220301AWIL1,Stimulus,ss,241,541,661,1081,1261,1381,,,,,,,,,,,,,,,,,,
220301AWIL1,Stimulus,fw,61,121,301,361,601,721,781,841,1021,1201,,,,,,,,,,,,,,
220301AWIL1,Stimulus,bp,1,181,481,1141,,,,,,,,,,,,,,,,,,,,
220301AWIL1,Stimulus,nw,421,901,961,1321,,,,,,,,,,,,,,,,,,,,
220303STHO1,Stimulus,ss,121,541,721,961,1201,1381,,,,,,,,,,,,,,,,,,
220303STHO1,Stimulus,fw,61,361,481,601,661,781,901,1021,1081,1321,,,,,,,,,,,,,,
220303STHO1,Stimulus,bp,1,181,301,421,,,,,,,,,,,,,,,,,,,,
220303STHO1,Stimulus,nw,241,841,1141,1261,,,,,,,,,,,,,,,,,,,,
220308MBIC1,Stimulus,ss,61,121,361,841,1201,1321,,,,,,,,,,,,,,,,,,
220308MBIC1,Stimulus,fw,1,241,421,541,601,661,721,781,1081,1261,,,,,,,,,,,,,,
220308MBIC1,Stimulus,bp,301,961,1021,1381,,,,,,,,,,,,,,,,,,,,
220308MBIC1,Stimulus,nw,181,481,901,1141,,,,,,,,,,,,,,,,,,,,
220310CKOB1,Stimulus,ss,121,661,721,1081,1321,1381,,,,,,,,,,,,,,,,,,
220310CKOB1,Stimulus,fw,1,61,181,481,541,901,961,1021,1141,1261,,,,,,,,,,,,,,
220310CKOB1,Stimulus,bp,421,781,841,1201,,,,,,,,,,,,,,,,,,,,
